기관ID,주소,병원분류명,응급실운영여부(T/F),비고,기관설명상세,간이약도,기관명,대표전화1,응급실전화,평일진료시간,토요일진료시간,일요일진료시간,공휴일진료시간,병원경도,병원위도,진료과
A1102203,"서울특별시 광진구 광나루로 608, (구의동)",의원,F,이물제거/후두내시경,"보건복지부 지정 추나요법 시범사업기관입니다. 침, 한약, 추나, 면역약침등의 한의학적 치료방법을 이용하여 환자의 질병상태들 진단하고 치료합니다.",대방역 보라매역 사이 병무청 근처,경이비인후과의원,02-452-5996,02-2030-5555,09:30~18:30,09:30~13:00,11:00~17:00,11:00~17:00,127.0952833,37.54118611,내과
A1102240,"서울특별시 노원구 석계로9길 33, (월계동)",의원,F,공휴일 진료는 변동 가능성 있으므로 전화 확인 후 방문요망,점심시간 1~2시,남성역 1번 출구 도보 5분,고성종의원,02-942-2872,02-2626-1550,09:00~18:00,09:00~15:00,09:00~15:00,09:00~12:00,127.0627042,37.61671542,내과
A1102837,"서울특별시 은평구 응암로 308, 1층, 2층 (응암동, CM빌딩)",의원,F,점심시간 13:00~14:00,휴업 ~20180604,서부병원에서 응암오거리방향 150m거리 위치.,가톨릭정형외과의원,02-354-9800,1811-7755,09:00~18:30,09:00~14:00,10:00~16:00,09:00~12:00,126.921408,37.59871098,가정의학과
A1119577,"서울특별시 종로구 송월길 99, 2226,2227,2228호 (홍파동, 경희궁자이)",의원,F,"소아(5세이상 협조가능시)/ 간단 봉합/ 1,3주 목요일 휴진","고려고든정외과는 서울시 금천구 시흥사거리  신한은행4층에 위치하고 있으며 항시 정형외과 전문의가 상주하고 있습니다 입원실 운영하며 산재,자보 의보 의료보호 등 모든진료가 가능한 병원입니다",5층,고려튼튼정형외과의원,02-733-1119,02-2626-1550,09:00~19:00,09:00~14:00,09:00~13:00,08:30~13:00,126.9638464,37.56920505,내과
A1117969,"서울특별시 광진구 광나루로 614, 4층 (구의동, 만택빌딩)",의원,F,점심시간 13:00~14:00,국가구강검진 등록기관,올림픽대교북단 사거리,광진성모안과의원,02-456-2452,02-2626-1550,09:00~18:30,09:00~14:00,09:00~14:00,09:00~14:00,127.0958345,37.54078985,안과
A1117499,서울특별시 강동구 동남로79길 26 (고덕동),의원,F,5세이상/봉합/,피부미용/,고덕 아이파크 상가 3층,고운가정의학과의원,02-442-7579,02-2626-1550,09:00~19:00,09:00~16:00,14:00~19:00,09:00~12:00,127.1550603,37.55983465,가정의학과
A1101156,"서울특별시 강남구 압구정로 449, 3층 (청담동, 청하빌딩)",의원,F,점심시간 13:00~14:00,고척돔구장 앞 먹자골목 안 쪽에 위치하고 있습니다. 대학병원 교수급의 구강외과 박사 대표원장님의 세심한 진료 수준높은 착한치과 골드원치과입니다.,압구정로데오역-청담역 사이/,골든뷰성형외과의원,02-555-0184,02-2626-1550,10:00~19:00,10:00~16:00,10:00~13:00,10:00~15:00,127.0465557,37.52623959,피부과
A1123763,"서울특별시 강서구 양천로 424, 가양역 데시앙플렉스 지식산업센터 227,236~240호 (등촌동)",의원,F,평일 점심시간 13:00~14:00,"저희 365본맥한의원은 교통사고후유증, 추나요법, 봉침, 약침, 다이어트, 부인, 소아를 전문으로 하는 한의원입니다. 건물 옆 주차장 6대를 보유하고 있으며, 매일 야간진료와 365진료를 하고있습니다. 특히 추나요법을 특화로 하고 봉침약침과 함께 치료하여 디스크 협착증 등과 같은 만성질환을 치료하고 있습니다.",신림역 7번출구/서원프라자 3층,365봄연합의원,02-2054-6717,02-920-5374,09:00~21:00,09:00~19:00,09:00~19:00,09:00~19:00,126.847971,37.56422771,내과
A1105437,서울특별시 강남구 삼성로 155  (대치동),의원,F,미용성형/,토요일 조기마감가능(사전전화요)/,대치역 7번출구,고준영이비인후과의원,02-555-3234,02-2626-1557,09:30~18:00,09:00~14:00,09:00~13:00,09:00~13:00,127.0629541,37.4938805,이비인후과
A1103592,"서울특별시 중랑구 망우로 463, 2층 (망우동)",의원,F,공휴일 방문 전 전화확인 필요,"저희 365본맥한의원은 교통사고후유증, 추나요법, 봉침, 약침, 다이어트, 부인, 소아를 전문으로 하는 한의원입니다. 건물 옆 주차장 6대를 보유하고 있으며, 매일 야간진료와 365진료를 하고있습니다. 특히 추나요법을 특화로 하고 봉침약침과 함께 치료하여 디스크 협착증 등과 같은 만성질환을 치료하고 있습니다.",망우사거리 금란교회 인근,365서울연합의원,02-432-7580,02-920-5374,09:00~18:00,09:00~13:00,09:00~16:00,09:00~16:00,127.1036389,37.60065978,가정의학과
A1105029,서울특별시 강남구 남부순환로 2912,의원,F,일반진료/수술가능/,"스포츠의학과, 척추관절",도곡역 3번출구,광혜안과의원,02-539-7658,02-2626-1557,09:30~18:30,09:30~14:00,09:00~14:00,09:00~12:00,127.0561141,37.4906822,안과
A1116990,"서울특별시 금천구 독산로 347, 3층 (독산동)",의원,F,"일요일, 공휴일 휴무",영유아검진/,관악농협 금천지점 맞은편,금천수의원,02-857-1775,02-2260-7414,09:00~19:00,09:00~16:00,09:00~14:00,09:00~14:00,126.9034998,37.47781631,가정의학과
A1105746,"서울특별시 서초구 신반포로19길 10, H동 13-2호 (반포동, 반포아파트상가)",의원,F,협조가능소아/봉합/교정/대표번호1 지역번호 추가20170118150453,"잘 낫지 않은 피부병(건선, 습진, 아토피, 여드름, 대상포진) 한방치료 자동차사고, 산재진료.  점심시간 - 12:30~13:30 .  위치 - 독산동 남부순환로 구로전화국 사거리 버스정류장",마들역8번출구,구명진이비인후과의원,02-593-2414,02-2067-1515,10:00~17:30,10:00~12:30,09:00~15:00,09:00~15:00,126.9867401,37.50103881,이비인후과
A1122810,"서울특별시 서초구 강남대로 437, 대원빌딩 3층 (서초동)",의원,F,점심시간 13:00~14:00,"저희 365본맥한의원은 교통사고후유증, 추나요법, 봉침, 약침, 다이어트, 부인, 소아를 전문으로 하는 한의원입니다. 건물 옆 주차장 6대를 보유하고 있으며, 매일 야간진료와 365진료를 하고있습니다. 특히 추나요법을 특화로 하고 봉침약침과 함께 치료하여 디스크 협착증 등과 같은 만성질환을 치료하고 있습니다.",망우사거리 금란교회 인근,365엠씨(MC)람스에스씨(SC)의원,070-4010-7781,02-920-5374,11:00~20:00,11:00~16:00,09:00~14:00,09:00~14:00,127.0255112,37.50136341,가정의학과
A1106439,"서울특별시 강동구 천호대로 1034, 3층 301호 (성내동, 탑 메디칼센타)",의원,F,점심시간 13:00~14:00,"저희 365본맥한의원은 교통사고후유증, 추나요법, 봉침, 약침, 다이어트, 부인, 소아를 전문으로 하는 한의원입니다. 건물 옆 주차장 6대를 보유하고 있으며, 매일 야간진료와 365진료를 하고있습니다. 특히 추나요법을 특화로 하고 봉침약침과 함께 치료하여 디스크 협착증 등과 같은 만성질환을 치료하고 있습니다.",천호역 1번 출구,365엠씨(MC)의원,02-475-3657,02-920-5374,11:00~20:00,11:00~16:00,09:00~14:00,09:00~14:00,127.1267367,37.53718113,가정의학과
A1116498,"서울특별시 영등포구 영중로 6, 11~13층 (영등포동3가, 영등포키스톤타워)",의원,F,점심시간 13:00~14:00,"저희 365본맥한의원은 교통사고후유증, 추나요법, 봉침, 약침, 다이어트, 부인, 소아를 전문으로 하는 한의원입니다. 건물 옆 주차장 6대를 보유하고 있으며, 매일 야간진료와 365진료를 하고있습니다. 특히 추나요법을 특화로 하고 봉침약침과 함께 치료하여 디스크 협착증 등과 같은 만성질환을 치료하고 있습니다.",천호역 1번 출구,365엠씨람스의원,02-839-3653,02-920-5374,11:00~20:00,11:00~16:00,09:00~14:00,09:00~14:00,126.9066528,37.51696216,가정의학과
A1123775,"서울특별시 송파구 오금로 239, 365웰빌딩 3,4,5층 (방이동)",의원,F,"2,4주 일요일 휴진/점심시간 12:50~14:00/저녁시간 16:50~18:00","물리치료실, 건강검진, 내과, 정형외과, 소아과, 외과 등 진료",현대시장사거리 인근,365웰정형외과재활의학과의원,02-425-0365,02-920-5374,09:00~19:00,09:00~14:00,09:00~15:00,10:00~15:00,127.1202656,37.50661168,가정의학과
A1101602,"서울특별시 중랑구 면목로 357, 3,4층 (면목동, 삼일빌딩)",의원,F,점심시간 13:00~14:00,저희 치과는 임플란트 보철 사랑니수술 등 치아에 관련된 모든 치료가능합니다(교정과도 같이 있음),면목신협 맞은편,가톨릭정형외과의원,02-2207-7711,1811-7755,09:00~18:00,09:00~16:00,10:00~16:00,09:00~12:00,127.0881368,37.58399322,가정의학과
A1119575,"서울특별시 강남구 강남대로 616, 12층 (신사동, 신사미타워)",의원,F,교정/임플란트/소아5살이상/턱관절/봉합,지하철2호선 신대방역 1번출구에서 난곡방향으로 50m 내려오면 역전건물(1층 CU마트)2층에 그린한의원이 있습니다.,신사역 6번 출구,글로리성형외과의원,02-514-9522,02-2260-7414,10:00~19:00,10:00~16:00,09:00~13:00,09:30~16:00,127.0197997,37.51685683,이비인후과
A1105515,서울특별시 금천구 독산로 174  (독산동),의원,F,점심시간 13:00~14:00,"예약제 병원으로 평일 17시, 토요일은 13시에 접수 마감",남부여성발전센터 입구,김내과의원,02-802-0919,02-2260-7414,09:00~18:00,09:00~13:00,09:00~15:00,08:00~12:30,126.90436,37.46281699,내과
A1103784,"서울특별시 성북구 정릉로 326 , 2층 (정릉동)",의원,F,점심시간 13:00~14:00,봉합/,삼성래미안아파트 건너편,김인식내과의원,02-919-6500,02-2260-7414,09:00~18:00,09:00~14:00,10:00~18:00,10:00~17:00,127.0193239,37.6020696,내과
A1100332,서울특별시 서초구 동작대로 120 (방배동),의원,F,점심시간 13:00~14:00,영유아검진가능/,총신대입구역 2번 출구,김선태내과의원,02-599-2552,02-2260-7414,09:00~18:00,09:00~12:30,08:10~11:00,08:10~11:00,126.9827093,37.48725017,"내과,안과,이비인후과,정형외과,피부과"
A1105304,"서울특별시 은평구 서오릉로 138, 3층 (대조동)",의원,F,점심시간 13-15시,점심시간 평일 12:00~13:30,구산역 1번 출구,김정일안과의원,02-383-8686,02-2260-7414,09:00~18:00,09:00~13:00,09:30~13:00,09:00~16:00,126.9178066,37.6111822,안과
A1106314,"서울특별시 은평구 진흥로 150, 2층 (녹번동)",의원,F,수액처치/상처소독/성인진료(감기)/안질환/,"안녕하세요. 김미경산부인과입니다. 항상 원칙을 어긋나지 않는 마음과 함께, 진정성 있는 진료로 다가서는 것을 최우선의 가치로 삼고 있습니다.",대조시장 맞은편 성수약국2층,김미경소아과의원,02-355-8234,02-2260-7414,09:00~18:00,09:00~14:00,10:00~14:00,09:15~12:00,126.9266432,37.60864363,이비인후과
A1123128,서울특별시 강남구 도산대로 118  (논현동),의원,F,점심시간 13:00~14:00,"저희 365본맥한의원은 교통사고후유증, 추나요법, 봉침, 약침, 다이어트, 부인, 소아를 전문으로 하는 한의원입니다. 건물 옆 주차장 6대를 보유하고 있으며, 매일 야간진료와 365진료를 하고있습니다. 특히 추나요법을 특화로 하고 봉침약침과 함께 치료하여 디스크 협착증 등과 같은 만성질환을 치료하고 있습니다.",성신여대입구역 5번 출구,365엠씨의원,1577-3653,02-920-5374,11:00~20:00,11:00~16:00,09:00~14:00,09:00~14:00,127.0218104,37.51660492,가정의학과
A1118985,"서울특별시 강남구 테헤란로2길 8, 3층 (역삼동)",의원,F,점심시간13:00~14:30(평일)/13:00~14:00(토요일),화요일 야간진료 예약시 21시까지,강남역 1번 출구 바로 앞,강남고운세상피부과의원,02-3477-2020,02-874-7227,10:00~19:00,10:00~16:00,09:00~14:00,09:00~17:30,127.0287284,37.49762755,피부과
A1116197,"서울특별시 강남구 역삼로1길 18, 3층 일부층 (역삼동)",의원,F,공휴일 방문전 진료여부 전화확인필요,"산부인과, 유방외과, 내과, 비뇨기의학과, 가정의학과, 소아청소년과, 영상의학과",동원빌딩 3층,강남메이퓨어의원,02-6959-5676,02-874-7227,10:30~20:30,10:00~17:00,09:00~14:00,10:00~11:00,127.0306312,37.49443318,피부과
A1116812,"서울특별시 서초구 강남대로 355, 삼성화재 서초사옥 18,19,20층 (서초동)",의원,F,점심시간 13:00~14:00,외과,강남구청역 1번출구,강남이오스안과의원,02-3454-2080,02-874-7227,10:00~18:00,09:30~15:30,10:00~17:00,09:00~18:00,127.0288312,37.49436588,안과
A1105438,서울특별시 강남구 봉은사로73길 5  (삼성동),의원,F,1.3주 토요일은 휴진입니다.,목요일 휴진,힐스테이트아파트 옆,김영민내과의원,02-567-5770,02-2260-7414,09:30~18:30,09:30~14:00,12:00~16:00,08:30~13:00,127.0506773,37.51281112,내과
A1103080,"서울특별시 강남구 역삼로 310, 한솔필리아 222호 (역삼동)",의원,F,"평일 점심시간 13:00~14:00/일요일, 공휴일의 경우 진료여부 전화확인 후 방문필요","라식, 라섹, 백내장, 일반진료 가능",역삼 이마트 2층,강남연세소아과의원,02-508-2776,02-874-7227,09:00~18:00,09:30~13:00,10:00~13:00,10:00~13:00,127.0484032,37.49930267,가정의학과
A1116830,"서울특별시 송파구 마천로51길 2, 2층 (마천동, 수정빌딩)",의원,F,"접수마감은 진료마감 30분전 체질진료는 월,수,금,토 / 처음 내원 시 미리 전화 or 카카오톡으로 문의주세요.","사상체질의학,코,비염,알러지 클리닉",마천역 1번출구,강남의원,02-408-7999,02-874-7227,09:00~18:00,09:00~13:00,10:00~17:00,09:00~18:00,127.1505223,37.4955205,가정의학과
A1106574,"서울특별시 강남구 테헤란로 139-1, 2층, 지하1층 (역삼동)",의원,F,점심시간 13:00~14:00,외과,역삼역4번출구/,강남이조은안과의원,02-553-9533,02-874-7227,10:00~18:30,10:00~15:00,10:00~17:00,09:00~18:00,127.0344699,37.50044076,안과
A1106202,"서울특별시 강남구 테헤란로 513 (삼성동, B1일부,4,9,10층,테헤란로81길10,B1일부,삼성로92길29,3,4)",의원,F,"내과 11:00~16:00 / 치과 10:00~18:00 / 피부과 10:00~19:00(화, 목 20시까지 야간진료)","검진 전문병원, 외래진료는 내과/치과/피부과 가능",삼성역 5번출구,(의)미래의료재단리드림의원,02-540-0001,-,07:30~18:00,07:30~13:00,휴일,휴일,127.0588898,37.50802478,"내과,안과,이비인후과,정형외과,피부과"
A1101336,"서울특별시 마포구 신촌로 92, 7,10층 (노고산동)",의원,F,점심시간 13:00~14:00,비만클리닉,신촌역 8번출구 인근,365엠씨의원,02-3142-3657,02-920-5374,11:00~20:00,11:00~16:00,09:00~14:00,09:00~14:00,126.9356646,37.55517313,가정의학과
A1101697,"서울특별시 서초구 서리풀길 1, 2층 (서초동)",의원,F,일반진료/피부미용/화상/비뇨기과/,봉합/,남부터미날역 2번출구에서 5분거리(1층 파리바게트),김인섭의원,02-529-4318,02-2260-7414,09:00~18:30,09:00~18:00,10:00~18:30,10:00~18:30,127.0209585,37.48649994,내과
A1104335,"서울특별시 강남구 논현로 610, (논현동)",의원,F,신생아부터 가능/이물제거/후두내시경 간단한것 가능함/,안과진료만가능,차병원 방향에서 동호대교 방향 50미터,김이비인후과의원,02-544-2844,02-2260-7414,09:00~19:00,09:00~14:00,10:00~12:00,08:30~13:00,127.033775,37.50824167,가정의학과
A1103787,"서울특별시 송파구 송이로 87 (가락동, 3층)",의원,F,소아진료(협조가능시)/봉합/,점심시간 평일 12:00~13:30,신천역 근처/,김정희이비인후과의원,02-448-4589,02-2260-7414,09:30~17:30,09:30~12:30,09:30~13:00,09:00~16:00,127.1207951,37.49834055,이비인후과
A1106450,서울특별시 강서구 화곡로 173 (화곡동),의원,F,미용성형/,점심시간 평일 12:00~13:30,석촌호수 서호/ 미켈란호수가아파트 옆,김정철성형외과의원,02-2607-0880,02-2260-7414,10:00~18:00,10:00~13:00,09:30~13:00,09:00~16:00,126.8407529,37.54204763,"내과,피부과"
A1119373,"서울특별시 성동구 왕십리로 410, L동 3층 320호 (하왕십리동, 센트라스)",의원,F,점심시간 13:00~14:00,비만클리닉,신촌역 8번출구 인근,365연세의원,02-2291-2211,02-920-5374,09:00~18:30,09:00~14:00,09:00~14:00,09:00~14:00,127.0240824,37.56659122,가정의학과
A1120046,"서울특별시 강남구 도곡로 405, 삼환 아르누보2 204호 (대치동)",의원,F,평일 점심시간 13:00~14:00  저녁시간 18시~18시20분 주말(토.일)공휴일 점심시간 13:00~13:20,"한티역2번출구앞에 위치한 연중무휴 평일 8시까지 진료/ 화, 목 밤 10시 연장진료/ 토,일,공휴일 저녁6시까지 진료하는 가정의학과의원입니다.",한티역 2번 출구 앞,365열린가정의학과의원,02-565-7119,02-920-5374,09:00~20:00,09:00~18:00,09:00~18:00,09:00~18:00,127.0546701,37.49736972,가정의학과
A1106586,"서울특별시 강동구 올림픽로 664, 3층 (천호동, 대우한강베네시티)",의원,F,점심시간 13:00~14:00,"물리치료실, 건강검진, 내과, 정형외과, 소아과, 외과 등 진료",천호역 3번출구/대우한강베네시티 3층,365열린의원,02-478-0365,02-920-5374,09:00~22:00,09:00~18:00,09:00~18:00,09:00~18:00,127.1246516,37.54071882,가정의학과
A1106226,서울특별시 종로구 세종대로23길 54 (당주동),의원,F,"토요일 2,5째 휴무","건강검진센터, 내과진료만 가능",광화문역 1번출구 세종아파트 내,(재)한국의학연구소한국중부의원,237029000,-,07:00~16:00,07:00~11:00,09:00~12:30,09:00~16:30,126.9728827,37.5717772,"가정의학과,내과,안과,이비인후과,정형외과,피부과"
A1100930,"서울특별시 성북구 아리랑로 3, 5층 (동소문동6가, 기업은행)",의원,F,점심시간 13:00~14:00,"저희 365본맥한의원은 교통사고후유증, 추나요법, 봉침, 약침, 다이어트, 부인, 소아를 전문으로 하는 한의원입니다. 건물 옆 주차장 6대를 보유하고 있으며, 매일 야간진료와 365진료를 하고있습니다. 특히 추나요법을 특화로 하고 봉침약침과 함께 치료하여 디스크 협착증 등과 같은 만성질환을 치료하고 있습니다.",성신여대입구역 5번 출구,365엠씨의원,02-924-3653,02-920-5374,11:00~20:00,11:00~16:00,09:00~14:00,09:00~14:00,127.0161738,37.59302413,가정의학과
A1103112,"서울특별시 노원구 동일로 1392, 5층 (상계동,노원한일빌딩)",의원,F,공휴일 불규칙 운영으로 사전공지 함,피부과/BLS의원 본점,7호선 노원역5번출구,CL성형외과의원,02-933-6522,02-920-5374,09:30~18:30,09:30~16:00,09:00~23:00,09:00~22:00,127.0612389,37.65300833,내과
A1101744,"서울특별시 강남구 테헤란로 107, 비전타워 7층,9층 (역삼동)",의원,F,목요일 휴진/점심시간 13:00~14:00,제대혈줄기세포를 이용한 퇴행성 관절염 치료. 축구 국가 대표팀 주치의가 관리하는 스포츠 손상. 정형외과 전문의가 진료합니다.,강남역 12번출구 바로앞,강남조은눈안과의원,02-535-8001,02-874-7227,10:00~18:30,09:00~16:00,10:00~17:00,09:00~18:00,127.0287559,37.49867992,안과
A1122314,"서울특별시 강남구 학동로6길 49, 논현동에스씨주택 2층 (논현동)",의원,F,-,2018년 2월 5일부터 정상진료,서울외국어고등학교 뒤편,논현리뉴의원,02-544-5554,02-490-2113,10:00~19:00,10:00~16:00,09:30~14:00,09:00~13:00,127.0265077,37.50943025,내과
A1121908,"서울특별시 영등포구 선유로 138, 롯데마트 양평점 (양평동3가)",의원,F,"2,4주 일요일 휴진/점심시간 12:50~14:00/저녁시간 16:50~18:00","물리치료실, 건강검진, 내과, 정형외과, 소아과, 외과 등 진료",롯데마트 양평점 지하1층,365열린의원,02-3667-6856,02-920-5374,10:00~19:30,10:00~16:30,10:00~21:00,10:00~16:30,126.891572,37.52606589,가정의학과
A1122870,"서울특별시 은평구 진관3로 11, 208호, 301호 (진관동, 은평뉴타운 힐데스하임)",의원,F,"2,4주 일요일 휴진/점심시간 12:50~14:00/저녁시간 16:50~18:00","물리치료실, 건강검진, 내과, 정형외과, 소아과, 외과 등 진료",선유도역 7번 출구,365이화웃는세상의원,02-1600-1527,02-920-5374,09:00~20:00,09:00~16:00,09:00~16:00,09:00~16:00,126.9182681,37.63946305,내과
A1117911,서울특별시 노원구 한글비석로 264 (중계동),의원,F,소아(협조가능)/봉합/교정/턱관절/,장미상가 비동 2층 210호/,은행사거리 인근,남이비인후과의원,02-934-4692,02-2260-7414,09:30~19:00,09:30~13:00,09:00~17:00,09:30~14:00,127.0770723,37.65084466,내과
A1102703,서울특별시 강남구 논현로101길 14,의원,F,점심시간 12시45분~14시,부인과검진은공단검진만,렉스타워빌딩 5층/,네오의원,02-566-4561,02-2260-7414,10:00~19:00,10:00~14:00,09:00~17:00,09:30~14:00,127.0338352,37.50436035,내과
A1118877,"서울특별시 강동구 천호대로157길 53, 2층 (천호동, 강동농협 로데오지점)",의원,F,소아(8세이상)/봉합/교정/,장미A상가1동 202호/,"천호역 5번출구, 천호시장교차로",노벨의원,02-470-7515,02-2260-7414,10:00~19:00,10:00~16:00,09:00~17:00,09:30~14:00,127.1275294,37.54018324,피부과
A1120424,"서울특별시 중구 퇴계로 123, 하이헤리엇 9층 9011호,9012호 (충무로2가)",의원,F,13~14시 점심시간,"점심시간-12:30~13:00 토요일,공휴일 진료없음",명륜제일교회 인근,다오의원,02-776-7582,02-490-2113,09:30~18:30,10:00~19:00,09:30~17:00,09:00~15:00,126.9853643,37.5612659,내과
